featureID,A,B,C,D,E,F,G,H,I,J
ASV001,22110,76558,58708,51773,4743,14164,30535,8440,5124,42536
ASV002,74828,23365,69209,72397,6097,6745,74407,49643,33039,98189
ASV003,48793,45495,33720,94452,30007,92922,82154,90487,91531,64026
ASV004,52461,4323,70346,97604,3756,10201,92793,20469,94041,75720
ASV005,6539,93228,22886,73687,19810,99093,39217,51731,99953,44546
ASV006,17599,66805,56067,99196,26358,26274,44460,75204,66680,96023
ASV007,79499,77991,57153,85150,93838,94377,78174,81872,68014,58074
ASV008,72414,81403,33749,62818,5549,57872,9574,13815,3862,13651
ASV009,52502,92093,94865,48483,33386,6665,17777,52735,72995,26151
ASV010,2879,44844,51294,27595,64130,49512,23245,45194,7771,70335
ASV011,16876,7521,67032,76916,88354,22632,31430,44694,33967,64299
ASV012,62301,70543,80863,37582,82626,87549,93300,78348,14730,96712
ASV013,60782,52913,88613,57915,23109,93927,98628,26894,52440,66582
ASV014,41405,71104,47771,35759,75993,16918,15254,66020,29785,13144
ASV015,58468,44994,86181,95536,4734,58632,30032,79279,42015,75541
ASV016,70985,48021,72719,19353,31243,97441,85333,85174,64812,93417
ASV017,25779,72586,30387,75744,52819,76307,82687,47125,26544,29062
ASV018,40659,65753,18694,22359,7220,7899,17965,83225,23735,33847
ASV019,6944,97291,10007,57534,55342,75643,8685,77217,24362,57537
ASV020,74244,16007,66136,54347,58693,69056,63142,50187,47140,97609
ASV021,13477,88466,12017,98854,61208,12522,17907,95922,96731,13976
ASV022,73954,10757,77054,42054,52832,17175,64594,89884,43255,21981
ASV023,17115,2472,16186,92286,70591,50875,62907,95089,47519,46722
ASV024,39712,50174,96202,3793,93733,84828,99461,25559,81428,34371
ASV025,63114,69272,22980,31706,67143,90891,1216,69730,79005,63990
ASV026,9332,20656,57645,39671,81470,19463,69427,73504,53087,66599
ASV027,5593,75545,91597,13612,42574,1359,97480,81714,60797,73777
ASV028,1634,19830,48720,15992,7500,52760,25530,99042,23988,48590
ASV029,13112,44073,9176,32601,52817,66945,21898,21192,67998,67371
ASV030,48086,76880,19650,30145,98508,94586,29859,30755,24700,9544